25/02/2019 12:04
Time (s), Time step (s),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel
221503.200000,0.101000,0.000000,0.000000,0.000000,56.870833,70.000000,10.000000,10.000000,10.000000,10.000000
224767.569000,0.099000,0.000000,0.000000,0.000000,56.870833,70.000000,10.000000,10.000000,10.000000,10.000000
228032.000000,0.101000,0.000000,0.000000,0.000000,56.869444,80.000000,10.000000,10.000000,10.000000,10.000000
231296.700000,0.100000,0.000000,0.000000,0.000000,56.868056,80.000000,10.000000,10.000000,10.000000,10.000000
234561.600000,0.100000,0.000000,0.000000,0.000000,56.865278,90.000000,10.000000,10.000000,10.000000,10.000000
237826.773000,0.100000,0.000000,0.000000,0.000000,56.863889,90.000000,10.000000,10.000000,10.000000,10.000000
241092.000000,0.101000,0.000000,0.000000,0.000000,56.862500,100.000000,10.000000,10.000000,10.000000,10.000000
244357.500000,0.099000,0.000000,0.000000,0.000000,56.862500,100.000000,10.000000,10.000000,10.000000,10.000000
247623.200000,0.101000,0.000000,0.000000,0.000000,56.861111,110.000000,10.000000,10.000000,10.000000,10.000000
250889.100000,0.100000,0.000000,0.000000,0.000000,56.859722,110.000000,10.000000,10.000000,10.000000,10.000000
254155.200000,0.100000,0.000000,0.000000,0.000000,56.856944,120.000000,10.000000,10.000000,10.000000,10.000000
257421.500000,0.100000,0.000000,0.000000,0.000000,56.854167,120.000000,10.000000,10.000000,10.000000,10.000000
260688.000000,0.100000,0.000000,0.000000,0.000000,56.852778,130.000000,10.000000,10.000000,10.000000,10.000000
263954.781000,0.100000,0.000000,0.000000,0.000000,56.851389,130.000000,10.000000,10.000000,10.000000,10.000000
267221.600000,0.101000,0.000000,0.000000,0.000000,56.850000,140.000000,10.000000,10.000000,10.000000,10.000000
270488.700000,0.100000,0.000000,0.000000,0.000000,56.847222,140.000000,10.000000,10.000000,10.000000,10.000000
273756.000000,0.100000,0.000000,0.000000,0.000000,56.844444,150.000000,10.000000,10.000000,10.000000,10.000000
277023.500000,0.100000,0.000000,0.000000,0.000000,56.843056,150.000000,10.000000,10.000000,10.000000,10.000000
280291.200000,0.100000,0.000000,0.000000,0.000000,56.841667,160.000000,10.000000,10.000000,10.000000,10.000000
