Time (ms),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel,,Test Time,25/02/2019
116488170,0,0,0,0.070833,5000,10,10,1000,1000,,,
117599420,0,0,0,-0.0125,5000,10,10,1000,1000,,,
118710792,0,0,0,-0.101389,6000,10,10,1000,1000,,,
119822392,0,0,0,0.001389,6000,10,10,1000,1000,,,
120934330,0,0,0,0.109722,7000,10,10,1000,1000,,,
122046498,0,0,0,-0.0125,7000,10,10,1000,1000,,,
123158896,0,0,0,-0.1375,8000,10,10,1000,1000,,,
124271524,0,0,0,0.001389,8000,10,10,1000,1000,,,
125384382,0,0,0,0.147222,9000,10,10,1000,1000,,,
126497700,0,0,0,-0.009722,9000,10,10,1000,1000,,,
127611020,0,0,0,-0.176389,10000,10,10,1000,1000,,,
128724804,0,0,0,0.002778,10000,10,10,1000,1000,,,
129838586,0,0,0,0.180556,10000,10,10,1000,1000,,,
130952717,0,0,0,0.006944,10000,10,10,1000,1000,,,
132067080,0,0,0,-0.175,10000,10,10,1000,1000,,,
133181675,0,0,0,-0.356944,10000,10,10,1000,1000,,,
134296502,0,0,0,-0.538889,10000,10,10,1000,1000,,,
135411807,0,0,0,-0.356944,10000,10,10,1000,1000,,,
136527100,0,0,0,-0.177778,10000,10,10,1000,1000,,,
137642875,-0.000732,0,0,0.004167,10000,10,10,1000,1000,,,
138758634,0,0,0,0.190278,10000,10,10,1000,1000,,,
139874752,0,0,0,0.009722,10000,10,10,1000,1000,,,
140991104,0,0,0,-0.169444,10000,10,10,1000,1000,,,
142107690,0,0,0,-0.355556,10000,10,10,1000,1000,,,
143224640,0,0,0,-0.538889,10000,10,10,1000,1000,,,
144341695,0,0,0,-0.356944,10000,10,10,1000,1000,,,
145459248,0,0,0,-0.177778,10000,10,10,1000,1000,,,
146576773,0,0,0,0.011111,10000,10,10,1000,1000,,,
147694666,0,0,0,0.188889,10000,10,10,1000,1000,,,
148812795,0,0,0,0.009722,10000,10,10,1000,1000,,,
149931160,0,0,0,-0.168056,10000,10,10,1000,1000,,,
151049761,0,0,0,-0.356944,10000,10,10,1000,1000,,,
152168874,0,0,0,-0.5375,10000,10,10,1000,1000,,,
153287949,0,0,0,-0.358333,10000,10,10,1000,1000,,,
154407540,0,0,0,-0.172222,10000,10,10,1000,1000,,,
155527089,0,0,0,0.011111,10000,10,10,1000,1000,,,
156647016,-0.001465,0,0,0.2,10000,10,10,1000,1000,,,
157767181,0,0,0,0.019444,10000,10,10,1000,1000,,,
158887584,0,0,0,-0.169444,10000,10,10,1000,1000,,,
160008225,0,0,0,-0.355556,10000,10,10,1000,1000,,,
161129250,0,0,0,-0.5375,10000,10,10,1000,1000,,,
162250368,0,0,0,-0.358333,10000,10,10,1000,1000,,,
163371872,0,0,0,-0.169444,10000,10,10,1000,1000,,,
164493616,0,0,0,0.013889,10000,10,10,1000,1000,,,
165615750,0,0,0,0.198611,10000,10,10,1000,1000,,,
166737975,0,0,0,0.020833,10000,10,10,1000,1000,,,
167860440,0,0,0,-0.168056,10000,10,10,1000,1000,,,
168983145,0,0,0,-0.358333,10000,10,10,1000,1000,,,
170106244,0,0,0,-0.548611,10000,10,10,1000,1000,,,
171229430,0,0,0,-0.358333,10000,10,10,1000,1000,,,
172353012,0,0,0,-0.176389,10000,10,10,1000,1000,,,
173476993,0,0,0,0.0125,10000,10,10,1000,1000,,,
174601218,0,0,0,0.202778,10000,10,10,1000,1000,,,
