Time (ms),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel
255264048,0,0,0,0.0125,10000,10,10,1000,1000
255938892,0,0,0,-0.216667,10000,10,10,1000,1000
256614036,0,0,0,-0.452778,10000,10,10,1000,1000
257289480,0,0,0,-0.686111,10000,10,10,1000,1000
257965224,0,0,0,-0.455556,10000,10,10,1000,1000
258641268,0,0,0,-0.222222,10000,10,10,1000,1000
259318035,0,0,0,0.0125,10000,10,10,1000,1000
259995104,0,0,0,0.248611,10000,10,10,1000,1000
260672900,0,0,0,0.016667,10000,10,10,1000,1000
261350148,0,0,0,-0.215278,10000,10,10,1000,1000
262028550,0,0,0,-0.455556,10000,10,10,1000,1000
262706400,0,0,0,-0.688889,10000,10,10,1000,1000
263385408,0,0,0,-0.455556,10000,10,10,1000,1000
264064720,0,0,0,-0.223611,10000,10,10,1000,1000
264744336,0,0,0,0.0125,10000,10,10,1000,1000
265424256,0,0,0,0.251389,10000,10,10,1000,1000
266104913,0,0,0,0.022222,10000,10,10,1000,1000
266785008,0,0,0,-0.215278,10000,10,10,1000,1000
267466275,0,0,0,-0.455556,10000,10,10,1000,1000
268147412,0,0,0,-0.695833,10000,10,10,1000,1000
268829290,0,0,0,-0.456944,10000,10,10,1000,1000
269511912,0,0,0,-0.220833,10000,10,10,1000,1000
270193964,0,0,0,0.018056,10000,10,10,1000,1000
270876320,0,0,0,0.252778,10000,10,10,1000,1000
271559421,0,0,0,0.022222,10000,10,10,1000,1000
272243270,0,0,0,-0.216667,10000,10,10,1000,1000
272926984,0,0,0,-0.455556,10000,10,10,1000,1000
273611004,0,0,0,-0.697222,10000,10,10,1000,1000
274295330,0,0,0,-0.461111,10000,10,10,1000,1000
274979962,0,0,0,-0.223611,10000,10,10,1000,1000
275665794,0,0,0,0.015278,10000,10,10,1000,1000
276351040,0,0,0,0.255556,10000,10,10,1000,1000
277037041,0,0,0,0.022222,10000,10,10,1000,1000
277723350,0,0,0,-0.215278,10000,10,10,1000,1000
278409967,0,0,0,-0.455556,10000,10,10,1000,1000
279097796,0,0,0,-0.698611,10000,10,10,1000,1000
279785484,0,0,0,-0.943056,10000,10,10,1000,1000
280473028,0,0,0,-1.186111,10000,10,10,1000,1000
281161335,0,0,0,-1.427778,10000,10,10,1000,1000
281849952,0,0,0,-1.668056,10000,10,10,1000,1000
