25/02/2019 12:00,,,,,,,,,,,,
Time (s),Time step (s),X dist,X duty,X freq,Y dist,Y velocity,Y acc,Y freq, X accel, X decel, Y accel, Y decel
394786.7,0.1,0,0,0,56.711111,567.11111,-57.7048596,330,10,10,10,10
398061.722,0.1,0,0,0,56.705556,567.05556,-0.5555,340,10,10,10,10
401336.7,0.101,0,0,0,56.701389,561.3998911,-55.99672189,340,10,10,10,10
404612,0.1,0,0,0,56.694444,566.94444,55.44548911,350,10,10,10,10
407887.5,0.1,0,0,0,56.690278,566.90278,-0.4166,350,10,10,10,10
411163.2,0.1,0,0,0,56.684722,566.84722,-0.5556,360,10,10,10,10
414439.1,0.1,0,0,0,56.677778,566.77778,-0.6944,360,10,10,10,10
417715.328,0.1,0,0,0,56.673611,566.73611,-0.4167,370,10,10,10,10
420991.5,0.101,0,0,0,56.666667,561.0561089,-56.23763455,370,10,10,10,10
424268,0.1,0,0,0,56.6625,566.625,55.68891089,380,10,10,10,10
427544.7,0.1,0,0,0,56.655556,566.55556,-0.6944,380,10,10,10,10
430821.6,0.1,0,0,0,56.65,566.5,-0.5556,390,10,10,10,10
434098.7,0.1,0,0,0,56.644444,566.44444,-0.5556,390,10,10,10,10
437376,0.1,0,0,0,56.6375,566.375,-0.6944,400,10,10,10,10
440653.5,0.101,0,0,0,56.631944,560.7123168,-56.06616998,400,10,10,10,10
443931.336,0.099,0,0,0,56.625,571.969697,113.7109105,410,10,10,10,10
447209.1,0.101,0,0,0,56.619444,560.5885545,-112.6845793,410,10,10,10,10
450487.2,0.1,0,0,0,56.613889,566.13889,55.50335545,420,10,10,10,10
453765.639,0.1,0,0,0,56.605556,566.05556,-0.8333,420,10,10,10,10
457044,0.101,0,0,0,56.6,560.3960396,-56.03485541,430,10,10,10,10
460322.7,0.099,0,0,0,56.594444,571.6610505,113.7879889,430,10,10,10,10
463601.742,0.1,0,0,0,56.586111,565.86111,-57.99940505,440,10,10,10,10
466880.7,0.101,0,0,0,56.579167,560.1897723,-56.15185864,440,10,10,10,10
470160,0.1,0,0,0,56.573611,565.73611,55.46337723,450,10,10,10,10
473439.5,0.1,0,0,0,56.565278,565.65278,-0.8333,450,10,10,10,10
