14/02/2019 12:03
Time (ms)	X dist	X duty	X freq	Y dist	Y freq	
4200.000000	0.001661	0.000000	0.000000	-121.880514	100000.000000
4250.000000	0.001661	0.000000	0.000000	-123.352861	100000.000000
4300.000000	0.001661	0.000000	0.000000	-124.825208	100000.000000
4350.000000	0.001661	0.000000	0.000000	-126.265125	100000.000000
4400.000000	0.001661	0.000000	0.000000	-127.730986	100000.000000
4450.000000	0.001661	0.000000	0.000000	-129.196847	100000.000000
4500.000000	0.001661	0.000000	0.000000	-130.675681	100000.000000
4550.000000	0.001661	0.000000	0.000000	-132.148028	100000.000000
4600.000000	0.001661	0.000000	0.000000	-133.620375	100000.000000
4650.000000	0.001661	0.000000	0.000000	-135.086236	100000.000000
4700.000000	0.001661	0.000000	0.000000	-136.552097	100000.000000
4750.000000	0.001661	0.000000	0.000000	-138.017958	100000.000000
4800.000000	0.001661	0.000000	0.000000	-139.490306	100000.000000
4850.000000	0.001661	0.000000	0.000000	-140.962653	100000.000000
4900.000000	0.001661	0.000000	0.000000	-142.409056	100000.000000
4950.000000	0.001661	0.000000	0.000000	-143.881403	100000.000000
5000.000000	0.001661	0.000000	0.000000	-145.347264	100000.000000
5050.000000	0.001661	0.000000	0.000000	-146.813125	100000.000000
5100.000000	0.001661	0.000000	0.000000	-148.285472	100000.000000
5150.000000	0.001661	0.000000	0.000000	-149.751333	100000.000000
5200.000000	0.001661	0.000000	0.000000	-151.223681	100000.000000
5250.000000	0.000000	0.000000	0.000000	-149.809708	100000.000000
5300.000000	0.000000	0.000000	0.000000	-148.369792	100000.000000
5350.000000	0.000000	0.000000	0.000000	-146.897444	100000.000000
5400.000000	0.000000	0.000000	0.000000	-145.425097	100000.000000
5450.000000	0.000000	0.000000	0.000000	-143.959236	100000.000000
5500.000000	0.000000	0.000000	0.000000	-142.493375	100000.000000
5550.000000	0.000000	0.000000	0.000000	-141.027514	100000.000000
5600.000000	0.000000	0.000000	0.000000	-139.555167	100000.000000
5650.000000	0.000000	0.000000	0.000000	-138.076333	100000.000000
5700.000000	0.000000	0.000000	0.000000	-136.603986	100000.000000
5750.000000	0.000000	0.000000	0.000000	-135.138125	100000.000000
5800.000000	0.000000	0.000000	0.000000	-133.672264	100000.000000
5850.000000	0.000000	0.000000	0.000000	-132.232347	100000.000000
5900.000000	0.000000	0.000000	0.000000	-130.766486	100000.000000
5950.000000	0.000000	0.000000	0.000000	-129.300625	100000.000000
6000.000000	0.000000	0.000000	0.000000	-127.821792	100000.000000
6050.000000	0.000000	0.000000	0.000000	-126.349444	100000.000000
6100.000000	0.000000	0.000000	0.000000	-124.883583	100000.000000
6150.000000	0.000000	0.000000	0.000000	-123.417722	100000.000000
6200.000000	0.000000	0.000000	0.000000	-121.945375	100000.000000
6250.000000	0.000000	0.000000	0.000000	-120.479514	100000.000000
6300.000000	0.000000	0.000000	0.000000	-119.000681	100000.000000
6350.000000	0.000000	0.000000	0.000000	-117.528333	100000.000000
6400.000000	0.000000	0.000000	0.000000	-116.055986	100000.000000
6450.000000	0.000000	0.000000	0.000000	-114.590125	100000.000000
6500.000000	0.000000	0.000000	0.000000	-113.124264	100000.000000
6550.000000	0.000000	0.000000	0.000000	-111.651917	100000.000000
6600.000000	0.000000	0.000000	0.000000	-110.173083	100000.000000
6650.000000	0.000000	0.000000	0.000000	-108.707222	100000.000000
6700.000000	0.000000	0.000000	0.000000	-107.241361	100000.000000
6750.000000	0.000000	0.000000	0.000000	-105.775500	100000.000000
6800.000000	0.000000	0.000000	0.000000	-104.303153	100000.000000
6850.000000	0.000000	0.000000	0.000000	-102.830806	100000.000000
6900.000000	0.000000	0.000000	0.000000	-101.358458	100000.000000
6950.000000	0.000000	0.000000	0.000000	-99.879625	100000.000000
7000.000000	0.000000	0.000000	0.000000	-98.420250	100000.000000
7050.000000	0.000000	0.000000	0.000000	-96.960875	100000.000000
7100.000000	0.000000	0.000000	0.000000	-95.488528	100000.000000
7150.000000	0.000000	0.000000	0.000000	-94.009694	100000.000000
7200.000000	0.000000	0.000000	0.000000	-92.543833	100000.000000
7250.000000	0.000000	0.000000	0.000000	-91.058514	100000.000000
7300.000000	0.000000	0.000000	0.000000	-89.592653	100000.000000
7350.000000	0.000000	0.000000	0.000000	-88.126792	100000.000000
7400.000000	0.000000	0.000000	0.000000	-86.660931	100000.000000
7450.000000	0.000000	0.000000	0.000000	-85.188583	100000.000000
7500.000000	0.000000	0.000000	0.000000	-83.716236	100000.000000
7550.000000	0.000000	0.000000	0.000000	-82.243889	100000.000000
7600.000000	0.000000	0.000000	0.000000	-80.771542	100000.000000
7650.000000	0.000000	0.000000	0.000000	-79.305681	100000.000000
7700.000000	0.000000	0.000000	0.000000	-77.839819	100000.000000
7750.000000	0.000000	0.000000	0.000000	-76.373958	100000.000000
7800.000000	0.000000	0.000000	0.000000	-74.908097	100000.000000
7850.000000	0.000000	0.000000	0.000000	-73.455208	100000.000000
7900.000000	0.000000	0.000000	0.000000	-71.982861	100000.000000
7950.000000	0.000000	0.000000	0.000000	-70.517000	100000.000000
8000.000000	0.000000	0.000000	0.000000	-69.044653	100000.000000
8050.000000	0.000000	0.000000	0.000000	-67.585278	100000.000000
8100.000000	0.000000	0.000000	0.000000	-66.119417	100000.000000
8150.000000	0.000000	0.000000	0.000000	-64.647069	100000.000000
8200.000000	0.000000	0.000000	0.000000	-63.168236	100000.000000
8250.000000	0.000000	0.000000	0.000000	-61.695889	100000.000000
8300.000000	0.000000	0.000000	0.000000	-60.230028	100000.000000
8350.000000	0.000000	0.000000	0.000000	-58.757681	100000.000000
