26/02/2019 12:20
Time (s), Time step (s),X dist,X duty,X freq,Y dist,Y freq, X accel, X decel, Y accel, Y decel, X dist target, Y dist target
2.424000,0.101000,0.000000,0.000000,0.000000,-0.341667,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
2.475000,0.099000,0.000000,0.000000,0.000000,-0.356944,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
2.600000,0.100000,0.000000,0.000000,0.000000,-0.373611,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
2.727000,0.101000,0.000000,0.000000,0.000000,-0.390278,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
2.772000,0.099000,0.000000,0.000000,0.000000,-0.404167,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
2.929000,0.101000,0.000000,0.000000,0.000000,-0.420833,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
2.970000,0.099000,0.000000,0.000000,0.000000,-0.434722,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
3.100000,0.100000,0.000000,0.000000,0.000000,-0.452778,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
3.232000,0.101000,0.000000,0.000000,0.000000,-0.466667,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
3.267000,0.099000,0.000000,0.000000,0.000000,-0.483333,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
3.400000,0.100000,0.000000,0.000000,0.000000,-0.498611,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
3.535000,0.101000,0.000000,0.000000,0.000000,-0.513889,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
3.564000,0.099000,0.000000,0.000000,0.000000,-0.530556,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
3.737000,0.101000,0.000000,0.000000,0.000000,-0.544444,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
3.762000,0.099000,0.000000,0.000000,0.000000,-0.561111,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
3.900000,0.100000,0.000000,0.000000,0.000000,-0.576389,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
4.040000,0.101000,0.000000,0.000000,0.000000,-0.593056,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
4.059000,0.099000,0.000000,0.000000,0.000000,-0.608333,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
4.200000,0.100000,0.000000,0.000000,0.000000,-0.623611,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
4.300000,0.100000,0.000000,0.000000,0.000000,-0.640278,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
4.400000,0.100000,0.000000,0.000000,0.000000,-0.654167,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
4.545000,0.101000,0.000000,0.000000,0.000000,-0.670833,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
4.554000,0.099000,0.000000,0.000000,0.000000,-0.686111,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
4.700000,0.100000,0.000000,0.000000,0.000000,-0.702778,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
4.848000,0.101000,0.000000,0.000000,0.000000,-0.716667,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
4.851000,0.099000,0.000000,0.000000,0.000000,-0.733333,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
5.000000,0.100000,0.000000,0.000000,0.000000,-0.748611,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
5.100000,0.100000,0.000000,0.000000,0.000000,-0.763889,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
5.200000,0.100000,0.000000,0.000000,0.000000,-0.780556,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
5.353000,0.101000,0.000000,0.000000,0.000000,-0.795833,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
5.346000,0.099000,0.000000,0.000000,0.000000,-0.812500,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
5.500000,0.100000,0.000000,0.000000,0.000000,-0.826389,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
5.656000,0.101000,0.000000,0.000000,0.000000,-0.843056,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
5.643000,0.099000,0.000000,0.000000,0.000000,-0.858333,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
5.858000,0.101000,0.000000,0.000000,0.000000,-0.873611,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
5.841000,0.099000,0.000000,0.000000,0.000000,-0.890278,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
6.000000,0.100000,0.000000,0.000000,0.000000,-0.904167,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
6.100000,0.100000,0.000000,0.000000,0.000000,-0.922222,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
6.200000,0.100000,0.000000,0.000000,0.000000,-0.936111,1000.000000,0.000000,0.000000,1000.000000,1000.000000,0.000000,-100.000000
